fps,sil_steps,sil_num_episodes,value_loss,total_timesteps,explained_variance,best_episode_reward,episode_reward,nupdates,sil_valid_samples,policy_entropy
1102,100000.0,111.0,0.0012732181930914521,3232000,0.9815402925014496,400.0,392.5,10100,321.0,2.0051331520080566
1101,100000.0,119.0,0.0014637494459748268,3264000,0.9775336254388094,400.0,400.0,10200,405.0,1.993635892868042
1100,100000.0,138.0,0.001308063161559403,3296000,0.9742450546473265,400.0,385.0,10300,426.0,2.208226203918457
1099,100000.0,145.0,0.001050454331561923,3328000,0.979622520506382,400.0,392.5,10400,365.0,2.2136740684509277
1098,100000.0,138.0,0.002356502693146467,3360000,0.9668604210019112,400.0,400.0,10500,315.0,2.0926055908203125
1097,100000.0,150.0,0.0008872853359207511,3392000,0.9833064768463373,400.0,380.0,10600,349.0,2.3061439990997314
1096,100000.0,124.0,0.0026739586610347033,3424000,0.9762931745499372,400.0,390.0,10700,89.0,2.228060245513916
1095,100000.0,125.0,0.0015951357781887054,3456000,0.9724113401025534,400.0,400.0,10800,465.0,2.182527542114258
1093,100000.0,122.0,0.0034389954525977373,3488000,0.9541985765099525,400.0,392.5,10900,3.0,2.189866304397583
1092,100000.0,104.0,0.002024545334279537,3520000,0.974904265254736,400.0,400.0,11000,389.0,2.1769356727600098
1091,100000.0,89.0,0.0026526441797614098,3552000,0.9779335800558329,400.0,380.0,11100,306.0,2.075261116027832
1090,100000.0,82.0,0.003443661378696561,3584000,0.9560991078615189,400.0,392.5,11200,326.0,1.9426889419555664
1089,100000.0,96.0,0.0015658611664548516,3616000,0.9819780793040991,400.0,390.0,11300,289.0,2.1404595375061035
1087,100000.0,121.0,0.001917280605994165,3648000,0.9823077861219645,400.0,382.5,11400,429.0,2.002575159072876
1086,100000.0,141.0,0.0015201520873233676,3680000,0.9866034826263785,400.0,390.0,11500,162.0,2.173652172088623
1085,100000.0,136.0,0.0019223761046305299,3712000,0.9868415351957083,400.0,400.0,11600,215.0,2.0812811851501465
1084,100000.0,148.0,0.005815077573060989,3744000,0.9513382129371166,400.0,400.0,11700,323.0,1.9427299499511719
1083,100000.0,145.0,0.001956229330971837,3776000,0.9794284924864769,400.0,400.0,11800,427.0,2.1255054473876953
1082,100000.0,165.0,0.0029706088826060295,3808000,0.9759372137486935,400.0,400.0,11900,341.0,2.063483476638794
1081,100000.0,174.0,0.0021637319587171078,3840000,0.9823748283088207,400.0,400.0,12000,197.0,2.1239421367645264
1080,100000.0,170.0,0.0029782659839838743,3872000,0.9797387588769197,400.0,400.0,12100,101.0,2.1811184883117676
1079,100000.0,154.0,0.004332930315285921,3904000,0.9434294514358044,400.0,400.0,12200,133.0,2.129646062850952
1078,100000.0,122.0,0.005987330339848995,3936000,0.952652495354414,400.0,400.0,12300,404.0,1.890822172164917
1077,100000.0,148.0,0.0011208726791664958,3968000,0.9896676260977983,400.0,400.0,12400,362.0,2.0313005447387695
1076,100000.0,155.0,0.0011234619887545705,4000000,0.9877258175984025,400.0,390.0,12500,253.0,2.1441781520843506
1075,100000.0,157.0,0.003421145724132657,4032000,0.9806812908500433,400.0,400.0,12600,463.0,2.051827907562256
1074,100000.0,163.0,0.0007952746236696839,4064000,0.9923044922761619,400.0,392.5,12700,397.0,2.1042165756225586
