total_timesteps,fps,sil_num_episodes,sil_steps,episode_reward,nupdates,policy_entropy,approxkl,episode_raw_reward,policy_loss,serial_timesteps,time_elapsed,value_loss,clipfrac,sil_valid_samples,best_episode_reward,explained_variance
3276800,1849,0.0,0.0,0.0,400,2.680436,0.0024542594,0.0,-0.0040191775,51200,1696.7214477062225,0.00011507618,0.023925781,0.0,0.0,-0.9959084987640381
3358720,1799,0.0,0.0,-0.025,410,2.6847548,0.0023313833,-2.5,-0.0016220125,52480,1740.9367785453796,0.00060982245,0.022888184,0.0,0.0,-0.09473717212677002
3440640,1854,0.0,0.0,-0.05,420,2.697054,0.0027422004,-5.0,-0.004465415,53760,1785.7048223018646,0.00013167705,0.022155762,0.0,0.0,-0.3575119972229004
3522560,1722,0.0,0.0,0.0,430,2.6372192,0.0020472424,0.0,-0.0026892298,55040,1831.3076763153076,0.000101488964,0.012054443,0.0,0.0,-1.3190009593963623
3604480,1805,0.0,0.0,0.0,440,2.7183387,0.0028290304,0.0,-0.002355004,56320,1876.3717358112335,7.852822e-05,0.019714355,0.0,0.0,-0.8321595191955566
3686400,1846,0.0,0.0,0.0,450,2.700598,0.0022435656,0.0,-0.003701827,57600,1921.4358553886414,0.00010103904,0.022247314,0.0,0.0,-1.8175475597381592
3768320,1831,0.0,0.0,-0.025,460,2.6109693,0.002996378,-2.5,-0.003688643,58880,1966.0922257900238,0.000114327384,0.025970459,0.0,0.0,-1.21940279006958
3850240,1781,0.0,0.0,-0.025,470,2.6612537,0.0030666492,-2.5,-0.004352355,60160,2011.449553489685,8.8120585e-05,0.029449463,0.0,0.0,-0.33766770362854004
3932160,1819,0.0,0.0,0.0,480,2.7517886,0.0035107906,0.0,-0.0014872339,61440,2056.3658740520477,0.0010856909,0.034332275,0.0,0.0,0.03888440132141113
4014080,1877,0.0,0.0,-0.075,490,2.6116183,0.0044053625,-7.5,-0.0056401254,62720,2101.245926141739,0.00013403744,0.04574585,0.0,0.0,-0.5179892778396606
4096000,1760,0.0,0.0,0.0,500,2.6407275,0.0043441686,0.0,-0.0052543646,64000,2147.496999502182,8.992901e-05,0.044036865,0.0,0.0,-1.3483026027679443
4177920,1869,0.0,0.0,0.0,510,2.6419158,0.004175109,0.0,-0.0046197595,65280,2192.5781297683716,8.364126e-05,0.038330078,0.0,0.0,-2.2505104541778564
4259840,1723,0.0,0.0,0.0,520,2.6791859,0.0025063958,0.0,-0.0038708476,66560,2237.6820669174194,6.239767e-05,0.020812988,0.0,0.0,-1.087923288345337
4341760,1834,0.0,0.0,0.0,530,2.6500156,0.0018881923,0.0,-0.0030843173,67840,2282.567060470581,7.465105e-05,0.009063721,0.0,0.0,-0.8481578826904297
4423680,1853,0.0,0.0,0.0,540,2.639543,0.003907104,0.0,-0.0039043732,69120,2327.0403883457184,6.016116e-05,0.033050537,0.0,0.0,-1.7611300945281982
4505600,1899,0.0,0.0,0.0,550,2.5557864,0.0032635482,0.0,-0.0034836263,70400,2371.986147880554,7.967477e-05,0.027069092,0.0,0.0,-0.990559458732605
4587520,1871,0.0,0.0,0.0,560,2.6354804,0.0026993765,0.0,-0.003250476,71680,2416.5957827568054,8.1561564e-05,0.019104004,0.0,0.0,-1.4457817077636719
4669440,1869,0.0,0.0,0.0,570,2.6493645,0.0031988334,0.0,-0.0034780297,72960,2461.026326417923,7.6544275e-05,0.028778076,0.0,0.0,-1.8538646697998047
4751360,1941,0.0,0.0,0.0,580,2.4495208,0.002723336,0.0,-0.0037658066,74240,2504.948070526123,8.3569495e-05,0.025390625,0.0,0.0,-1.9403657913208008
4833280,1823,0.0,0.0,0.0,590,2.6918433,0.005773985,0.0,-0.0023217872,75520,2548.9684126377106,0.0011142459,0.085632324,0.0,0.0,0.009385824203491211
4915200,1891,0.0,0.0,-0.425,600,2.4136615,0.0019795091,-15.975,-0.0037360871,76800,2593.005948781967,7.2899464e-05,0.012176514,0.0,0.0,-1.8956201076507568
4997120,1827,0.0,0.0,0.0,610,2.5976446,0.0024269684,0.0,-0.0026249145,78080,2637.752126455307,0.00023674959,0.02255249,0.0,0.0,-0.07712316513061523
5079040,1877,0.0,0.0,0.0,620,2.4762406,0.0034902904,0.0,-0.0028889698,79360,2682.458938598633,4.2429452e-05,0.026855469,0.0,0.0,-3.621227264404297
5160960,1946,0.0,0.0,0.0,630,2.278679,0.0050244173,0.0,-0.0049061035,80640,2725.999408006668,5.2964406e-05,0.053710938,0.0,0.0,-3.999929428100586
5242880,1826,0.0,0.0,0.0,640,2.3157613,0.0038641263,0.0,-0.003154659,81920,2769.552516222,4.135561e-05,0.033050537,0.0,0.0,-3.363546848297119
5324800,1943,0.0,0.0,0.0,650,2.223807,0.0051597324,0.0,-0.004564227,83200,2812.9813804626465,4.2682143e-05,0.054138184,0.0,0.0,-8.473738670349121
5406720,1907,0.0,0.0,0.0,660,2.3422804,0.0026821075,0.0,-0.0033215256,84480,2855.524597644806,3.8226157e-05,0.019500732,0.0,0.0,-3.925746440887451
5488640,1827,0.0,0.0,0.0,670,2.5286589,0.0026316694,0.0,-0.003642871,85760,2900.299134492874,3.1373533e-05,0.017150879,0.0,0.0,-3.2725048065185547
5570560,1553,0.0,0.0,0.0,680,2.5899277,0.0048525124,0.0,-0.006856203,87040,2947.559937477112,4.5473073e-05,0.05783081,0.0,0.0,-1.3338279724121094
5652480,1892,0.0,0.0,0.0,690,2.6147764,0.0038138088,0.0,-0.0053462675,88320,2991.4969532489777,4.2015374e-05,0.041046143,0.0,0.0,-3.0451931953430176
5734400,1853,0.0,0.0,-0.625,700,2.627327,0.0013048586,-4.8,-0.002340519,89600,3034.3421671390533,9.378591e-05,0.0043945312,0.0,0.0,-0.21158123016357422
5816320,1927,0.0,0.0,0.0,710,2.4822176,0.0035921535,0.0,-0.004306756,90880,3077.646115541458,4.2629752e-05,0.035095215,0.0,0.0,-2.845302104949951
5898240,1843,0.0,0.0,0.0,720,2.4691806,0.002416561,0.0,-0.0039170105,92160,3120.5892243385315,2.4476174e-05,0.02468872,0.0,0.0,-2.538767099380493
