episode_raw_reward,value_loss,sil_num_episodes,nupdates,policy_loss,policy_entropy,total_timesteps,episode_reward,serial_timesteps,time_elapsed,approxkl,explained_variance,clipfrac,sil_valid_samples,sil_steps,best_episode_reward,fps
400.0,8.79161e-05,104.0,44440,-0.0077066934,2.1425517,364052480,2.0,5688320,187193.40333986282,0.0029050556,0.9991283967392519,0.0140686035,512.0,50000.0,400.0,1912
400.0,1.8197368e-05,107.0,44450,-0.004477832,2.3930275,364134400,2.0,5689600,187235.49433398247,0.0036836364,0.9997497442818712,0.009857178,512.0,50000.0,400.0,1995
400.0,4.50384e-05,107.0,44460,-0.005009842,2.24188,364216320,2.0,5690880,187278.07203102112,0.0029234535,0.9994857550482266,0.013671875,512.0,50000.0,400.0,1889
400.0,3.4717705e-05,104.0,44470,-0.0039128773,2.1475859,364298240,2.0,5692160,187320.61595773697,0.0023496011,0.999544293503277,0.013061523,512.0,50000.0,400.0,1961
400.0,3.1231626e-05,103.0,44480,-0.00277942,2.1570358,364380160,2.0,5693440,187363.04739522934,0.0023128893,0.9996628832595889,0.011077881,512.0,50000.0,400.0,1977
400.0,7.8571815e-05,100.0,44490,-0.0052634706,2.2738252,364462080,2.0,5694720,187405.33031010628,0.0023944224,0.9990234697470441,0.010223389,512.0,50000.0,400.0,1953
400.0,0.00027019042,106.0,44500,-0.0064920695,2.1911576,364544000,2.0,5696000,187447.77550816536,0.008690855,0.9973512555006891,0.01184082,512.0,50000.0,400.0,1937
400.0,4.380208e-05,101.0,44510,-0.0052000037,2.1250837,364625920,2.0,5697280,187490.3056013584,0.002615871,0.9995346957584843,0.01574707,512.0,50000.0,400.0,1817
400.0,2.8748302e-05,103.0,44520,-0.004370828,2.3350883,364707840,2.0,5698560,187532.3615744114,0.0013679151,0.9996576228004415,0.010528564,512.0,50000.0,400.0,2005
390.0,3.6441976e-05,106.0,44530,-0.0053781345,2.3158164,364789760,1.95,5699840,187574.62384200096,0.0031167844,0.9994976452435367,0.011932373,512.0,50000.0,400.0,2084
400.0,4.211561e-05,103.0,44540,-0.0057793134,2.2165537,364871680,2.0,5701120,187617.0659751892,0.0049992306,0.9994500137399882,0.016815186,512.0,50000.0,400.0,1908
400.0,3.692962e-05,107.0,44550,-0.0038336134,2.3024743,364953600,2.0,5702400,187659.29502272606,0.0020333806,0.9994188707787544,0.011657715,512.0,50000.0,400.0,2031
400.0,3.1032174e-05,105.0,44560,-0.003929995,2.2821684,365035520,2.0,5703680,187701.52287101746,0.0029487563,0.9996235770813655,0.012207031,512.0,50000.0,400.0,1940
400.0,6.672295e-05,113.0,44570,-0.004941265,2.2843964,365117440,2.0,5704960,187744.3068497181,0.0024636704,0.9990712832659483,0.013122559,512.0,50000.0,400.0,1823
400.0,0.00025856926,112.0,44580,-0.0095336605,1.9783715,365199360,2.0,5706240,187787.0959224701,0.0038040434,0.9977488706354052,0.019073486,512.0,50000.0,400.0,1931
400.0,4.483648e-05,105.0,44590,-0.0053060325,1.9878848,365281280,2.0,5707520,187829.265229702,0.0023029014,0.9996188603108749,0.014953613,512.0,50000.0,400.0,1964
400.0,5.1147494e-05,104.0,44600,-0.0054637697,2.1779957,365363200,2.0,5708800,187871.6601846218,0.003498127,0.999533691938268,0.015838623,512.0,50000.0,400.0,1996
400.0,5.048922e-05,109.0,44610,-0.00518931,2.2133265,365445120,2.0,5710080,187914.3365895748,0.002361825,0.9993470891495235,0.012634277,512.0,50000.0,400.0,1929
400.0,9.099409e-05,107.0,44620,-0.004162257,2.1195602,365527040,2.0,5711360,187957.2846300602,0.0023254398,0.9990892034256831,0.013397217,512.0,50000.0,400.0,1863
400.0,4.2414093e-05,109.0,44630,-0.0046180724,2.1093261,365608960,2.0,5712640,187999.9940121174,0.0019037665,0.999527606414631,0.011444092,512.0,50000.0,400.0,1986
400.0,3.355925e-05,105.0,44640,-0.0061378805,2.1337094,365690880,2.0,5713920,188042.4297091961,0.0044726687,0.9996667022060137,0.016479492,512.0,50000.0,400.0,1842
400.0,3.8508322e-05,105.0,44650,-0.0051137325,2.018383,365772800,2.0,5715200,188084.85683178902,0.0041460986,0.9996542370354291,0.016906738,512.0,50000.0,400.0,1929
400.0,4.0831976e-05,100.0,44660,-0.00430224,1.9823353,365854720,2.0,5716480,188127.05507707596,0.002445408,0.9996232409612276,0.01449585,512.0,50000.0,400.0,1962
400.0,3.7591817e-05,103.0,44670,-0.0051542157,2.2347083,365936640,2.0,5717760,188168.71163392067,0.0025799233,0.9995162930281367,0.012207031,512.0,50000.0,400.0,1925
400.0,3.757033e-05,101.0,44680,-0.0054729055,2.065002,366018560,2.0,5719040,188211.11040258408,0.003718334,0.9996465425065253,0.016784668,512.0,50000.0,400.0,1917
400.0,2.786023e-05,105.0,44690,-0.0048565757,2.2912173,366100480,2.0,5720320,188252.75207948685,0.0030690068,0.9996945856546517,0.014282227,512.0,50000.0,400.0,1974
400.0,2.3876059e-05,106.0,44700,-0.0060378383,2.4366431,366182400,2.0,5721600,188294.9547214508,0.003433208,0.9996519600972533,0.011474609,512.0,50000.0,400.0,2051
400.0,4.646799e-05,100.0,44710,-0.004355357,2.0339909,366264320,2.0,5722880,188337.23507094383,0.0024037608,0.9994648648425937,0.010528564,512.0,50000.0,400.0,1848
400.0,0.00010127473,105.0,44720,-0.0062397933,1.9931043,366346240,2.0,5724160,188379.57804727554,0.00329415,0.9989081943640485,0.017791748,512.0,50000.0,400.0,1821
400.0,3.127727e-05,109.0,44730,-0.004079712,2.3822875,366428160,2.0,5725440,188421.77323412895,0.004171715,0.9995596797671169,0.010375977,512.0,50000.0,400.0,1965
400.0,2.7438213e-05,100.0,44740,-0.005352499,2.2521152,366510080,2.0,5726720,188464.12072181702,0.002963288,0.9996762120572384,0.010101318,512.0,50000.0,400.0,2013
400.0,3.5464967e-05,107.0,44750,-0.0060935384,2.2766497,366592000,2.0,5728000,188506.79422593117,0.003519186,0.9995694750978146,0.013336182,512.0,50000.0,400.0,1886
400.0,3.266738e-05,105.0,44760,-0.0067600384,2.2379882,366673920,2.0,5729280,188549.00608944893,0.0039036984,0.9996390233573038,0.015106201,512.0,50000.0,400.0,2069
400.0,3.9494502e-05,100.0,44770,-0.0051142424,2.2316585,366755840,2.0,5730560,188591.19369864464,0.0019607777,0.9995155780634377,0.012786865,512.0,50000.0,400.0,1866
400.0,4.0848667e-05,113.0,44780,-0.005188629,2.2444038,366837760,2.0,5731840,188633.2991051674,0.004368761,0.9995102071552537,0.011444092,512.0,50000.0,400.0,1898
400.0,5.8698613e-05,108.0,44790,-0.0036193482,2.0873258,366919680,2.0,5733120,188675.63583493233,0.0022775833,0.9990964520839043,0.012939453,512.0,50000.0,400.0,1842
