policy_entropy,value_loss,episode_reward,sil_num_episodes,sil_valid_samples,fps,total_timesteps,nupdates,sil_steps,explained_variance,best_episode_reward
2.785203695297241,0.000467928359284997,0.0,2.0,512.0,1309,1824000,5700,3712.0,-0.005911469459533691,100.0
2.7856407165527344,0.00030550648807547987,0.0,2.0,512.0,1304,1856000,5800,3712.0,0.0,100.0
2.788287878036499,2.3173530280473642e-05,0.0,2.0,512.0,1299,1888000,5900,3712.0,0.0,100.0
2.7892279624938965,2.363297789997887e-05,0.0,2.0,512.0,1294,1920000,6000,3712.0,0.004580795764923096,100.0
2.787083625793457,2.296161801496055e-05,0.0,2.0,512.0,1290,1952000,6100,3712.0,0.055635690689086914,100.0
2.787970542907715,0.00015927746426314116,0.0,2.0,512.0,1285,1984000,6200,3712.0,0.00010448694229125977,100.0
2.747103691101074,9.091481479117647e-05,0.0,2.0,512.0,1281,2016000,6300,3712.0,0.02379012107849121,100.0
2.5859017372131348,0.0001717665873002261,0.0,2.0,512.0,1277,2048000,6400,3712.0,0.12203752994537354,100.0
6.749752969881229e-07,0.00024158989253919572,0.0,2.0,512.0,1273,2080000,6500,3712.0,-7.163230895996094,100.0
2.7491884231567383,7.584032573504373e-05,0.0,2.0,512.0,1269,2112000,6600,3712.0,-0.0304567813873291,100.0
2.6277613639831543,0.00021302401728462428,0.0,2.0,512.0,1266,2144000,6700,3712.0,0.41810089349746704,100.0
2.6714818477630615,1.688483462203294e-05,0.0,2.0,512.0,1262,2176000,6800,3712.0,-0.0007793903350830078,100.0
1.8808882236480713,0.004545182920992374,0.0,2.0,512.0,1259,2208000,6900,3712.0,0.02584850788116455,100.0
1.3925955295562744,0.004908023867756128,0.0,2.0,512.0,1256,2240000,7000,3712.0,0.016644597053527832,100.0
0.5031793713569641,0.019102299585938454,0.0,2.0,512.0,1252,2272000,7100,3712.0,0.7371097803115845,100.0
0.911239743232727,0.0014111511409282684,0.0,2.0,512.0,1249,2304000,7200,3712.0,0.7828231006860733,100.0
1.4371254444122314,0.0008172444067895412,0.0,2.0,512.0,1246,2336000,7300,3712.0,0.2923271059989929,100.0
1.0998213291168213,0.018964316695928574,0.0,2.0,512.0,1243,2368000,7400,3712.0,0.6331004202365875,100.0
0.9564822912216187,0.00923643633723259,0.0,2.0,512.0,1240,2400000,7500,3712.0,0.07468521595001221,100.0
1.0273418426513672,0.018781844526529312,0.0,2.0,512.0,1238,2432000,7600,3712.0,0.27151626348495483,100.0
1.4225313663482666,0.017852388322353363,0.0,2.0,512.0,1235,2464000,7700,3712.0,0.4898608326911926,100.0
1.2252873182296753,0.005228142719715834,0.0,2.0,512.0,1232,2496000,7800,3712.0,0.6415519714355469,100.0
0.5750774145126343,0.001700866618193686,0.0,2.0,512.0,1229,2528000,7900,3712.0,0.4033220410346985,100.0
0.7709605693817139,0.0009594913572072983,0.0,2.0,512.0,1227,2560000,8000,3712.0,0.4043046832084656,100.0
