episode_raw_reward,time_elapsed,nupdates,explained_variance,sil_num_episodes,policy_entropy,sil_valid_samples,serial_timesteps,value_loss,approxkl,episode_reward,clipfrac,fps,policy_loss,sil_steps,best_episode_reward,total_timesteps
-41.775,264778.0390789509,75180,0.29187333583831787,0.0,2.6875544,0.0,9623040,0.0069778445,0.0016687866,-3.575,0.010925293,2339,-0.0059924424,0.0,0.0,615874560
-7.95,264811.9344506264,75190,-0.12439393997192383,0.0,2.7564116,0.0,9624320,0.00066945696,0.00031049395,-0.2,0.001953125,2450,-0.0007001583,0.0,0.0,615956480
-22.95,264846.8532395363,75200,-0.7494938373565674,0.0,2.7619617,0.0,9625600,0.00055094785,0.002912829,-1.075,0.00793457,2387,-0.0043891305,0.0,0.0,616038400
-28.45,264880.35772156715,75210,-0.00014984607696533203,0.0,2.7872736,0.0,9626880,0.15639132,2.9764824e-05,-2.625,0.00039672852,2363,-5.651136e-05,0.0,0.0,616120320
-48.175,264914.24071645737,75220,-0.32788121700286865,0.0,2.7656922,0.0,9628160,0.0010211879,0.0027413322,-3.875,0.0064697266,2377,-0.0017815708,0.0,0.0,616202240
-81.3,264949.2821829319,75230,-0.0004088878631591797,0.0,2.8114116,0.0,9629440,0.38023636,3.625477e-05,-6.925,0.00045776367,2321,-6.374526e-05,0.0,0.0,616284160
-50.075,264983.04915070534,75240,0.2579134702682495,0.0,2.7140272,0.0,9630720,0.01937355,0.0061658258,-5.675,0.013549805,2387,-0.0038233055,0.0,0.0,616366080
-73.025,265016.78933119774,75250,0.3838462829589844,0.0,2.7459483,0.0,9632000,0.01399476,0.011377046,-8.425,0.013153076,2481,-0.0046742675,0.0,0.0,616448000
-25.3,265051.7259879112,75260,-1.9977498054504395,0.0,2.7055752,0.0,9633280,0.0028635873,0.0013482147,-1.675,0.0076293945,2554,-0.0020634972,0.0,0.0,616529920
-44.675,265085.5897898674,75270,-2.4975996017456055,0.0,2.783173,0.0,9634560,0.0010772791,0.0029218956,-1.0,0.008026123,2337,-0.0026309723,0.0,0.0,616611840
-63.65,265119.717512846,75280,-0.36341392993927,0.0,2.679704,0.0,9635840,0.0016480035,0.00094321993,-3.55,0.0067749023,2433,-0.0017454672,0.0,0.0,616693760
-34.925,265154.6286833286,75290,-0.042519569396972656,0.0,2.7300725,0.0,9637120,0.000720518,0.0033133214,-2.775,0.008880615,2417,-0.0007601069,0.0,0.0,616775680
-18.25,265188.22512698174,75300,-4.416160583496094,0.0,2.7583764,0.0,9638400,0.00059405144,0.0011631174,-0.4,0.0048828125,2366,-0.0022781498,0.0,0.0,616857600
-41.725,265222.2382822037,75310,-0.17973244190216064,0.0,2.7031982,0.0,9639680,0.0006988479,0.0019286071,-0.85,0.0049438477,2415,-0.00089127215,0.0,0.0,616939520
-24.4,265257.5712468624,75320,-0.0007764101028442383,0.0,2.7425478,0.0,9640960,0.6361011,0.00016460296,-0.725,0.0014648438,1767,-5.5570024e-05,0.0,0.0,617021440
