policy_entropy,serial_timesteps,episode_reward,best_episode_reward,sil_num_episodes,sil_valid_samples,fps,approxkl,value_loss,explained_variance,episode_raw_reward,clipfrac,time_elapsed,sil_steps,policy_loss,total_timesteps,nupdates
1.9894177,90880,0.0,100.0,12.0,507.0,2247,0.0057662153,1.8211902e-06,-1.3143608570098877,0.0,0.07424927,2870.740312576294,38677.0,-0.013227124,5816320,710
2.0432122,92160,0.0,100.0,12.0,511.0,2233,0.0067321854,1.1154873e-06,-0.8694156408309937,0.0,0.08959961,2907.073555469513,38677.0,-0.01544911,5898240,720
1.8886932,93440,0.0,100.0,12.0,509.0,2121,0.00678763,7.7167834e-07,-0.8108086585998535,0.0,0.08731079,2943.924488067627,38677.0,-0.014169973,5980160,730
2.1055539,94720,0.0,100.0,12.0,508.0,2191,0.006412438,1.5052187e-06,0.07091385126113892,0.0,0.07888794,2981.0378832817078,38677.0,-0.012087088,6062080,740
1.8708881,96000,0.0,100.0,12.0,508.0,2215,0.0064775897,1.0210783e-06,-0.3080862760543823,0.0,0.087524414,3017.506248474121,38677.0,-0.013314525,6144000,750
1.9178776,97280,0.0,100.0,12.0,510.0,2198,0.0062484853,4.678476e-07,-1.599836826324463,0.0,0.0791626,3054.0884902477264,38677.0,-0.014925782,6225920,760
1.9370967,98560,0.0,100.0,12.0,508.0,2248,0.0054830452,2.8764685e-05,0.06989574432373047,0.0,0.065979004,3091.4263513088226,38677.0,-0.0118138725,6307840,770
1.943563,99840,0.0,100.0,12.0,508.0,2286,0.005759161,2.8329553e-06,-0.16211187839508057,0.0,0.0715332,3128.6213274002075,38677.0,-0.012371773,6389760,780
1.8336366,101120,0.0,100.0,12.0,510.0,2222,0.007370149,7.680991e-06,-3.0447068214416504,0.0,0.09902954,3165.1929466724396,38677.0,-0.013271552,6471680,790
1.7768508,102400,0.0,100.0,12.0,508.0,2297,0.0069951126,1.0729297e-05,-0.6117851734161377,0.0,0.09436035,3201.6055409908295,38677.0,-0.0121446755,6553600,800
1.8303802,103680,0.0,100.0,12.0,511.0,2271,0.0069887023,1.0444071e-06,-3.697451591491699,0.0,0.09298706,3238.035354614258,38677.0,-0.009952362,6635520,810
1.7573059,104960,0.0,100.0,12.0,510.0,2159,0.006238901,1.7023882e-06,-1.243819236755371,0.0,0.07513428,3274.325469493866,38677.0,-0.012947756,6717440,820
1.8208508,106240,0.0,100.0,12.0,508.0,1841,0.0050444314,6.701496e-07,-1.4550185203552246,0.0,0.058135986,3316.5413489341736,38677.0,-0.011173422,6799360,830
1.8543895,107520,0.0,100.0,12.0,511.0,2197,0.005829751,1.2809203e-06,-0.8151582479476929,0.0,0.07382202,3356.19468832016,38677.0,-0.013912795,6881280,840
